track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
7,381,38100,car,1010.998,1002.955,-12.321,1.378,3.03,4.74,1.81
7,382,38200,car,1009.766,1003.092,-12.339,1.365,3.031,4.74,1.81
7,383,38300,car,1008.532,1003.226,-12.361,1.35,3.033,4.74,1.81
7,384,38400,car,1007.295,1003.359,-12.388,1.335,3.034,4.74,1.81
7,385,38500,car,1006.056,1003.49,-12.419,1.317,3.036,4.74,1.81
7,386,38600,car,1004.814,1003.619,-12.454,1.299,3.038,4.74,1.81
7,387,38700,car,1003.569,1003.747,-12.495,1.278,3.04,4.74,1.81
7,388,38800,car,1002.319,1003.871,-12.541,1.254,3.042,4.74,1.81
7,389,38900,car,1001.064,1003.993,-12.594,1.228,3.044,4.74,1.81
7,390,39000,car,999.804,1004.112,-12.652,1.198,3.047,4.74,1.81
7,391,39100,car,998.539,1004.228,-12.714,1.165,3.05,4.74,1.81
7,392,39200,car,997.267,1004.339,-12.781,1.127,3.054,4.74,1.81
7,393,39300,car,995.989,1004.447,-12.85,1.084,3.057,4.74,1.81
7,394,39400,car,994.703,1004.549,-12.922,1.037,3.062,4.74,1.81
7,395,39500,car,993.41,1004.647,-12.994,0.985,3.066,4.74,1.81
7,396,39600,car,992.11,1004.739,-13.068,0.929,3.071,4.74,1.81
7,397,39700,car,990.803,1004.825,-13.141,0.868,3.076,4.74,1.81
7,398,39800,car,989.489,1004.904,-13.213,0.804,3.081,4.74,1.81
7,399,39900,car,988.167,1004.977,-13.283,0.736,3.086,4.74,1.81
7,400,40000,car,986.838,1005.043,-13.351,0.664,3.092,4.74,1.81
7,401,40100,car,985.503,1005.101,-13.415,0.59,3.098,4.74,1.81
7,402,40200,car,984.161,1005.152,-13.475,0.512,3.104,4.74,1.81
7,403,40300,car,982.813,1005.195,-13.53,0.433,3.11,4.74,1.81
7,404,40400,car,981.46,1005.229,-13.578,0.353,3.116,4.74,1.81
7,405,40500,car,980.102,1005.256,-13.62,0.272,3.122,4.74,1.81
7,406,40600,car,978.74,1005.275,-13.655,0.191,3.128,4.74,1.81
7,407,40700,car,977.374,1005.286,-13.682,0.113,3.133,4.74,1.81
