track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P4,1408,140800,pedestrian/bicycle,974.634,1012.087,8.571,-6.305
P4,1409,140900,pedestrian/bicycle,975.481,1011.452,8.378,-6.412
P4,1410,141000,pedestrian/bicycle,976.31,1010.804,8.199,-6.54
P4,1411,141100,pedestrian/bicycle,977.121,1010.143,8.015,-6.688
P4,1412,141200,pedestrian/bicycle,977.912,1009.466,7.81,-6.845
P4,1413,141300,pedestrian/bicycle,978.684,1008.773,7.619,-7.021
P4,1414,141400,pedestrian/bicycle,979.438,1008.061,7.457,-7.208
P4,1415,141500,pedestrian/bicycle,980.177,1007.332,7.331,-7.376
P4,1416,141600,pedestrian/bicycle,980.906,1006.587,7.251,-7.53
P4,1417,141700,pedestrian/bicycle,981.628,1005.827,7.19,-7.666
P4,1418,141800,pedestrian/bicycle,982.343,1005.055,7.104,-7.778
P4,1419,141900,pedestrian/bicycle,983.047,1004.271,6.99,-7.894
P4,1420,142000,pedestrian/bicycle,983.739,1003.476,6.844,-8.012
P4,1421,142100,pedestrian/bicycle,984.415,1002.668,6.675,-8.131
P4,1422,142200,pedestrian/bicycle,985.075,1001.848,6.525,-8.273
P4,1423,142300,pedestrian/bicycle,985.722,1001.013,6.403,-8.425
P4,1424,142400,pedestrian/bicycle,986.357,1000.163,6.308,-8.576
P4,1425,142500,pedestrian/bicycle,986.985,999.298,6.24,-8.723
P4,1426,142600,pedestrian/bicycle,987.605,998.422,6.16,-8.802
P4,1427,142700,pedestrian/bicycle,988.214,997.543,6.03,-8.775
P4,1428,142800,pedestrian/bicycle,988.808,996.672,5.84,-8.652
P4,1429,142900,pedestrian/bicycle,989.38,995.817,5.611,-8.45
P4,1430,143000,pedestrian/bicycle,989.929,994.984,5.373,-8.198
P4,1431,143100,pedestrian/bicycle,990.455,994.179,5.146,-7.916
P4,1432,143200,pedestrian/bicycle,990.96,993.4,4.957,-7.656
P4,1433,143300,pedestrian/bicycle,991.449,992.644,4.814,-7.474
P4,1434,143400,pedestrian/bicycle,991.925,991.901,4.711,-7.379
P4,1435,143500,pedestrian/bicycle,992.393,991.164,4.635,-7.365
P4,1436,143600,pedestrian/bicycle,992.853,990.425,4.572,-7.409
P4,1437,143700,pedestrian/bicycle,993.307,989.681,4.508,-7.482
P4,1438,143800,pedestrian/bicycle,993.754,988.929,4.432,-7.555
P4,1439,143900,pedestrian/bicycle,994.192,988.171,4.331,-7.596
P4,1440,144000,pedestrian/bicycle,994.619,987.41,4.214,-7.627
P4,1441,144100,pedestrian/bicycle,995.035,986.645,4.096,-7.673
P4,1442,144200,pedestrian/bicycle,995.438,985.876,3.965,-7.706
P4,1443,144300,pedestrian/bicycle,995.828,985.103,3.835,-7.749
P4,1444,144400,pedestrian/bicycle,996.206,984.324,3.728,-7.835
P4,1445,144500,pedestrian/bicycle,996.574,983.536,3.632,-7.919
P4,1446,144600,pedestrian/bicycle,996.932,982.743,3.526,-7.949
P4,1447,144700,pedestrian/bicycle,997.278,981.951,3.401,-7.898
P4,1448,144800,pedestrian/bicycle,997.61,981.169,3.241,-7.739
P4,1449,144900,pedestrian/bicycle,997.925,980.407,3.058,-7.506
P4,1450,145000,pedestrian/bicycle,998.222,979.668,2.879,-7.258
P4,1451,145100,pedestrian/bicycle,998.502,978.955,2.71,-7.008
P4,1452,145200,pedestrian/bicycle,998.765,978.267,2.55,-6.748
P4,1453,145300,pedestrian/bicycle,999.012,977.606,2.396,-6.469
P4,1454,145400,pedestrian/bicycle,999.244,976.975,2.247,-6.168
P4,1455,145500,pedestrian/bicycle,999.462,976.373,2.111,-5.859
P4,1456,145600,pedestrian/bicycle,999.667,975.802,1.993,-5.571
P4,1457,145700,pedestrian/bicycle,999.862,975.256,1.904,-5.348
P4,1458,145800,pedestrian/bicycle,1000.05,974.727,1.856,-5.223
P4,1459,145900,pedestrian/bicycle,1000.235,974.207,1.842,-5.187
P7,2012,201200,pedestrian/bicycle,982.46,1019.728,0.29,-2.898
P7,2013,201300,pedestrian/bicycle,982.484,1019.442,0.186,-2.82
P7,2014,201400,pedestrian/bicycle,982.497,1019.164,0.086,-2.741
P7,2015,201500,pedestrian/bicycle,982.501,1018.893,-0.01,-2.668
P7,2016,201600,pedestrian/bicycle,982.496,1018.629,-0.097,-2.612
P7,2017,201700,pedestrian/bicycle,982.483,1018.37,-0.165,-2.578
P7,2018,201800,pedestrian/bicycle,982.464,1018.112,-0.208,-2.571
P7,2019,201900,pedestrian/bicycle,982.442,1017.854,-0.242,-2.592
P7,2020,202000,pedestrian/bicycle,982.416,1017.593,-0.28,-2.637
P7,2021,202100,pedestrian/bicycle,982.385,1017.326,-0.328,-2.689
P7,2022,202200,pedestrian/bicycle,982.349,1017.055,-0.388,-2.737
P7,2023,202300,pedestrian/bicycle,982.307,1016.779,-0.451,-2.786
P7,2024,202400,pedestrian/bicycle,982.259,1016.497,-0.515,-2.851
P7,2025,202500,pedestrian/bicycle,982.204,1016.208,-0.59,-2.939
P7,2026,202600,pedestrian/bicycle,982.14,1015.909,-0.682,-3.034
P7,2027,202700,pedestrian/bicycle,982.067,1015.601,-0.788,-3.129
P7,2028,202800,pedestrian/bicycle,981.983,1015.283,-0.896,-3.225
P7,2029,202900,pedestrian/bicycle,981.888,1014.957,-0.989,-3.301
P7,2030,203000,pedestrian/bicycle,981.786,1014.624,-1.06,-3.35
P7,2031,203100,pedestrian/bicycle,981.677,1014.288,-1.118,-3.381
P7,2032,203200,pedestrian/bicycle,981.563,1013.95,-1.162,-3.377
