track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,1003.284,1005.06,-1.115,0.542
P1,2,200,pedestrian/bicycle,1003.179,1005.111,-0.996,0.494
P1,3,300,pedestrian/bicycle,1003.085,1005.158,-0.876,0.445
P1,4,400,pedestrian/bicycle,1003.004,1005.2,-0.758,0.396
P1,5,500,pedestrian/bicycle,1002.933,1005.238,-0.648,0.348
P1,6,600,pedestrian/bicycle,1002.873,1005.27,-0.557,0.301
P1,7,700,pedestrian/bicycle,1002.82,1005.298,-0.495,0.258
P1,8,800,pedestrian/bicycle,1002.772,1005.322,-0.472,0.218
P1,9,900,pedestrian/bicycle,1002.723,1005.342,-0.501,0.18
P1,10,1000,pedestrian/bicycle,1002.668,1005.358,-0.606,0.144
P1,11,1100,pedestrian/bicycle,1002.598,1005.371,-0.788,0.111
P1,12,1200,pedestrian/bicycle,1002.508,1005.38,-1.012,0.082
P1,13,1300,pedestrian/bicycle,1002.396,1005.387,-1.243,0.059
P1,14,1400,pedestrian/bicycle,1002.262,1005.392,-1.438,0.041
P1,15,1500,pedestrian/bicycle,1002.112,1005.396,-1.556,0.028
P1,16,1600,pedestrian/bicycle,1001.954,1005.398,-1.593,0.021
P1,17,1700,pedestrian/bicycle,1001.796,1005.4,-1.572,0.018
P1,18,1800,pedestrian/bicycle,1001.642,1005.402,-1.516,0.019
P1,19,1900,pedestrian/bicycle,1001.494,1005.404,-1.443,0.023
P1,20,2000,pedestrian/bicycle,1001.353,1005.407,-1.367,0.03
P1,21,2100,pedestrian/bicycle,1001.22,1005.41,-1.295,0.038
P1,22,2200,pedestrian/bicycle,1001.094,1005.414,-1.232,0.044
P1,23,2300,pedestrian/bicycle,1000.973,1005.419,-1.181,0.045
P1,24,2400,pedestrian/bicycle,1000.857,1005.423,-1.14,0.039
P1,25,2500,pedestrian/bicycle,1000.745,1005.426,-1.106,0.027
P1,26,2600,pedestrian/bicycle,1000.636,1005.428,-1.076,0.009
P1,27,2700,pedestrian/bicycle,1000.53,1005.428,-1.05,-0.013
P1,28,2800,pedestrian/bicycle,1000.425,1005.425,-1.033,-0.035
P1,29,2900,pedestrian/bicycle,1000.322,1005.421,-1.028,-0.056
P1,30,3000,pedestrian/bicycle,1000.219,1005.415,-1.034,-0.071
P1,31,3100,pedestrian/bicycle,1000.115,1005.407,-1.045,-0.081
P1,32,3200,pedestrian/bicycle,1000.01,1005.399,-1.059,-0.085
P1,33,3300,pedestrian/bicycle,999.903,1005.39,-1.076,-0.083
P1,34,3400,pedestrian/bicycle,999.795,1005.382,-1.096,-0.078
P1,35,3500,pedestrian/bicycle,999.684,1005.375,-1.117,-0.072
P1,36,3600,pedestrian/bicycle,999.571,1005.368,-1.135,-0.07
P1,37,3700,pedestrian/bicycle,999.457,1005.361,-1.146,-0.072
P1,38,3800,pedestrian/bicycle,999.342,1005.353,-1.152,-0.079
P1,39,3900,pedestrian/bicycle,999.227,1005.345,-1.155,-0.089
P1,40,4000,pedestrian/bicycle,999.112,1005.335,-1.157,-0.101
P1,41,4100,pedestrian/bicycle,998.996,1005.324,-1.156,-0.112
P1,42,4200,pedestrian/bicycle,998.881,1005.313,-1.152,-0.119
P1,43,4300,pedestrian/bicycle,998.766,1005.301,-1.144,-0.123
