track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,975.015,1004.286,-1.748,-1.408
P1,2,200,pedestrian/bicycle,974.841,1004.145,-1.727,-1.427
P1,3,300,pedestrian/bicycle,974.67,1004.001,-1.699,-1.447
P1,4,400,pedestrian/bicycle,974.502,1003.855,-1.662,-1.466
P1,5,500,pedestrian/bicycle,974.338,1003.708,-1.609,-1.483
P1,6,600,pedestrian/bicycle,974.181,1003.559,-1.542,-1.499
P1,7,700,pedestrian/bicycle,974.03,1003.408,-1.466,-1.514
P1,8,800,pedestrian/bicycle,973.887,1003.256,-1.387,-1.531
P1,9,900,pedestrian/bicycle,973.753,1003.102,-1.309,-1.553
P1,10,1000,pedestrian/bicycle,973.625,1002.945,-1.236,-1.583
P1,11,1100,pedestrian/bicycle,973.505,1002.785,-1.167,-1.619
P1,12,1200,pedestrian/bicycle,973.392,1002.621,-1.1,-1.656
P1,13,1300,pedestrian/bicycle,973.285,1002.454,-1.032,-1.689
P1,14,1400,pedestrian/bicycle,973.185,1002.284,-0.963,-1.715
P1,15,1500,pedestrian/bicycle,973.093,1002.111,-0.893,-1.733
P1,16,1600,pedestrian/bicycle,973.007,1001.937,-0.818,-1.744
P1,17,1700,pedestrian/bicycle,972.929,1001.762,-0.741,-1.751
P1,18,1800,pedestrian/bicycle,972.859,1001.587,-0.663,-1.754
P1,19,1900,pedestrian/bicycle,972.797,1001.412,-0.586,-1.755
P1,20,2000,pedestrian/bicycle,972.742,1001.236,-0.512,-1.752
P1,21,2100,pedestrian/bicycle,972.694,1001.061,-0.44,-1.749
P1,22,2200,pedestrian/bicycle,972.654,1000.887,-0.371,-1.746
P1,23,2300,pedestrian/bicycle,972.62,1000.713,-0.306,-1.737
P1,24,2400,pedestrian/bicycle,972.592,1000.54,-0.248,-1.722
P1,25,2500,pedestrian/bicycle,972.57,1000.368,-0.198,-1.707
P1,26,2600,pedestrian/bicycle,972.552,1000.198,-0.156,-1.693
P1,27,2700,pedestrian/bicycle,972.538,1000.029,-0.125,-1.684
P1,28,2800,pedestrian/bicycle,972.527,999.861,-0.101,-1.676
P1,29,2900,pedestrian/bicycle,972.518,999.694,-0.082,-1.665
P1,30,3000,pedestrian/bicycle,972.51,999.528,-0.062,-1.653
P1,31,3100,pedestrian/bicycle,972.505,999.364,-0.039,-1.639
P1,32,3200,pedestrian/bicycle,972.503,999.201,-0.008,-1.627
P1,33,3300,pedestrian/bicycle,972.504,999.038,0.028,-1.617
P1,34,3400,pedestrian/bicycle,972.509,998.877,0.07,-1.609
P1,35,3500,pedestrian/bicycle,972.518,998.716,0.113,-1.602
P1,36,3600,pedestrian/bicycle,972.532,998.556,0.158,-1.6
P1,37,3700,pedestrian/bicycle,972.55,998.396,0.204,-1.598
P1,38,3800,pedestrian/bicycle,972.572,998.237,0.249,-1.593
P1,39,3900,pedestrian/bicycle,972.599,998.078,0.291,-1.589
P1,40,4000,pedestrian/bicycle,972.63,997.919,0.333,-1.59
P1,41,4100,pedestrian/bicycle,972.666,997.759,0.374,-1.602
P1,42,4200,pedestrian/bicycle,972.705,997.598,0.418,-1.626
P1,43,4300,pedestrian/bicycle,972.75,997.433,0.466,-1.664
P1,44,4400,pedestrian/bicycle,972.799,997.265,0.516,-1.708
P1,45,4500,pedestrian/bicycle,972.853,997.092,0.565,-1.753
P1,46,4600,pedestrian/bicycle,972.911,996.914,0.606,-1.802
P1,47,4700,pedestrian/bicycle,972.974,996.731,0.64,-1.859
P1,48,4800,pedestrian/bicycle,973.039,996.542,0.667,-1.926
P1,49,4900,pedestrian/bicycle,973.107,996.345,0.689,-2.009
P1,50,5000,pedestrian/bicycle,973.177,996.139,0.705,-2.107
P1,51,5100,pedestrian/bicycle,973.248,995.923,0.717,-2.218
P1,52,5200,pedestrian/bicycle,973.32,995.695,0.726,-2.336
