track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
2,1,100,car,988.363,985.717,6.468,0.273,0.042,4.67,1.74
2,2,200,car,989.01,985.742,6.471,0.263,0.041,4.67,1.74
2,3,300,car,989.657,985.766,6.468,0.252,0.039,4.67,1.74
2,4,400,car,990.304,985.789,6.46,0.241,0.037,4.67,1.74
2,5,500,car,990.95,985.81,6.447,0.228,0.035,4.67,1.74
2,6,600,car,991.595,985.83,6.43,0.214,0.033,4.67,1.74
2,7,700,car,992.238,985.848,6.411,0.199,0.031,4.67,1.74
2,8,800,car,992.879,985.864,6.391,0.183,0.029,4.67,1.74
2,9,900,car,993.518,985.879,6.371,0.167,0.026,4.67,1.74
2,10,1000,car,994.155,985.892,6.352,0.151,0.024,4.67,1.74
2,11,1100,car,994.791,985.903,6.335,0.134,0.021,4.67,1.74
2,12,1200,car,995.424,985.912,6.32,0.117,0.019,4.67,1.74
2,13,1300,car,996.056,985.92,6.308,0.1,0.016,4.67,1.74
2,14,1400,car,996.687,985.926,6.297,0.083,0.013,4.67,1.74
2,15,1500,car,997.317,985.93,6.289,0.066,0.01,4.67,1.74
2,16,1600,car,997.946,985.932,6.283,0.049,0.008,4.67,1.74
2,17,1700,car,998.574,985.933,6.277,0.033,0.005,4.67,1.74
2,18,1800,car,999.202,985.933,6.272,0.018,0.003,4.67,1.74
2,19,1900,car,999.829,985.932,6.266,0.005,0.001,4.67,1.74
2,20,2000,car,1000.456,985.929,6.26,-0.007,-0.001,4.67,1.74
2,21,2100,car,1001.082,985.926,6.253,-0.018,-0.003,4.67,1.74
2,22,2200,car,1001.707,985.922,6.243,-0.026,-0.004,4.67,1.74
2,23,2300,car,1002.331,985.918,6.232,-0.031,-0.005,4.67,1.74
2,24,2400,car,1002.955,985.914,6.22,-0.035,-0.006,4.67,1.74
2,25,2500,car,1003.577,985.911,6.205,-0.035,-0.006,4.67,1.74
2,26,2600,car,1004.197,985.908,6.189,-0.033,-0.005,4.67,1.74
2,27,2700,car,1004.816,985.906,6.17,-0.027,-0.004,4.67,1.74
2,28,2800,car,1005.433,985.905,6.15,-0.019,-0.003,4.67,1.74
2,29,2900,car,1006.048,985.906,6.128,-0.007,-0.001,4.67,1.74
2,30,3000,car,1006.661,985.909,6.103,0.007,0.001,4.67,1.74
2,31,3100,car,1007.271,985.915,6.077,0.025,0.004,4.67,1.74
2,32,3200,car,1007.879,985.922,6.05,0.047,0.008,4.67,1.74
2,33,3300,car,1008.484,985.933,6.021,0.071,0.012,4.67,1.74
2,34,3400,car,1009.086,985.948,5.991,0.099,0.017,4.67,1.74
2,35,3500,car,1009.685,985.966,5.961,0.13,0.022,4.67,1.74
2,36,3600,car,1010.281,985.988,5.931,0.165,0.028,4.67,1.74
2,37,3700,car,1010.874,986.014,5.901,0.203,0.034,4.67,1.74
2,38,3800,car,1011.464,986.046,5.873,0.246,0.042,4.67,1.74
2,39,3900,car,1012.05,986.083,5.847,0.292,0.05,4.67,1.74
2,40,4000,car,1012.634,986.125,5.821,0.343,0.059,4.67,1.74
2,41,4100,car,1013.215,986.174,5.798,0.398,0.068,4.67,1.74
2,42,4200,car,1013.794,986.23,5.776,0.458,0.079,4.67,1.74
2,43,4300,car,1014.37,986.294,5.756,0.523,0.091,4.67,1.74
2,44,4400,car,1014.944,986.365,5.736,0.594,0.103,4.67,1.74
2,45,4500,car,1015.515,986.445,5.716,0.67,0.117,4.67,1.74
2,46,4600,car,1016.084,986.534,5.697,0.753,0.131,4.67,1.74
2,47,4700,car,1016.65,986.633,5.677,0.842,0.147,4.67,1.74
2,48,4800,car,1017.214,986.742,5.656,0.937,0.164,4.67,1.74
2,49,4900,car,1017.775,986.863,5.634,1.038,0.182,4.67,1.74
2,50,5000,car,1018.332,986.995,5.612,1.146,0.201,4.67,1.74
2,51,5100,car,1018.887,987.14,5.588,1.26,0.222,4.67,1.74
2,52,5200,car,1019.438,987.297,5.564,1.381,0.243,4.67,1.74
2,53,5300,car,1019.986,987.468,5.539,1.508,0.266,4.67,1.74
2,54,5400,car,1020.53,987.653,5.515,1.641,0.289,4.67,1.74
2,55,5500,car,1021.07,987.852,5.491,1.779,0.313,4.67,1.74
2,56,5600,car,1021.607,988.065,5.468,1.924,0.338,4.67,1.74
2,57,5700,car,1022.14,988.294,5.447,2.073,0.364,4.67,1.74
2,58,5800,car,1022.67,988.537,5.427,2.227,0.389,4.67,1.74
2,59,5900,car,1023.197,988.795,5.408,2.386,0.415,4.67,1.74
2,60,6000,car,1023.721,989.069,5.391,2.547,0.441,4.67,1.74
2,61,6100,car,1024.242,989.359,5.376,2.711,0.467,4.67,1.74
2,62,6200,car,1024.762,989.663,5.362,2.876,0.492,4.67,1.74
2,63,6300,car,1025.279,989.983,5.35,3.041,0.517,4.67,1.74
2,64,6400,car,1025.796,990.318,5.34,3.205,0.541,4.67,1.74
2,65,6500,car,1026.312,990.667,5.332,3.365,0.563,4.67,1.74
2,66,6600,car,1026.827,991.03,5.328,3.521,0.584,4.67,1.74
2,67,6700,car,1027.343,991.407,5.328,3.672,0.603,4.67,1.74
2,68,6800,car,1027.861,991.796,5.335,3.816,0.621,4.67,1.74
2,69,6900,car,1028.381,992.197,5.35,3.953,0.636,4.67,1.74
2,70,7000,car,1028.904,992.609,5.375,4.083,0.65,4.67,1.74
2,71,7100,car,1029.432,993.032,5.411,4.203,0.66,4.67,1.74
2,72,7200,car,1029.965,993.463,5.46,4.315,0.669,4.67,1.74
2,73,7300,car,1030.506,993.903,5.523,4.416,0.674,4.67,1.74
2,74,7400,car,1031.056,994.35,5.602,4.506,0.677,4.67,1.74
2,75,7500,car,1031.617,994.803,5.695,4.585,0.678,4.67,1.74
2,76,7600,car,1032.189,995.261,5.805,4.651,0.675,4.67,1.74
2,77,7700,car,1032.774,995.722,5.93,4.703,0.67,4.67,1.74
2,78,7800,car,1033.375,996.185,6.071,4.741,0.663,4.67,1.74
2,79,7900,car,1033.991,996.649,6.226,4.763,0.653,4.67,1.74
2,80,8000,car,1034.625,997.113,6.394,4.771,0.641,4.67,1.74
2,81,8100,car,1035.277,997.575,6.573,4.763,0.627,4.67,1.74
2,82,8200,car,1035.948,998.033,6.76,4.739,0.611,4.67,1.74
2,83,8300,car,1036.638,998.488,6.951,4.702,0.595,4.67,1.74
2,84,8400,car,1037.348,998.937,7.144,4.651,0.577,4.67,1.74
2,85,8500,car,1038.077,999.38,7.335,4.589,0.559,4.67,1.74
2,86,8600,car,1038.824,999.816,7.52,4.518,0.541,4.67,1.74
2,87,8700,car,1039.589,1000.245,7.696,4.44,0.523,4.67,1.74
2,88,8800,car,1040.371,1000.666,7.858,4.357,0.506,4.67,1.74
