track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1,100,pedestrian/bicycle,1002.523,1033.027,-5.228,1.84
P1,2,200,pedestrian/bicycle,1002.005,1033.209,-5.137,1.795
P1,3,300,pedestrian/bicycle,1001.496,1033.386,-5.042,1.746
P1,4,400,pedestrian/bicycle,1000.997,1033.558,-4.943,1.687
P1,5,500,pedestrian/bicycle,1000.508,1033.723,-4.839,1.616
P1,6,600,pedestrian/bicycle,1000.029,1033.88,-4.732,1.537
P1,7,700,pedestrian/bicycle,999.561,1034.03,-4.629,1.455
P1,8,800,pedestrian/bicycle,999.103,1034.172,-4.543,1.376
P1,9,900,pedestrian/bicycle,998.651,1034.305,-4.483,1.302
P1,10,1000,pedestrian/bicycle,998.204,1034.432,-4.467,1.237
P1,11,1100,pedestrian/bicycle,997.756,1034.553,-4.499,1.182
P1,12,1200,pedestrian/bicycle,997.303,1034.669,-4.561,1.131
P1,13,1300,pedestrian/bicycle,996.843,1034.78,-4.639,1.079
P1,14,1400,pedestrian/bicycle,996.374,1034.884,-4.727,1.02
P1,15,1500,pedestrian/bicycle,995.897,1034.983,-4.826,0.949
P1,16,1600,pedestrian/bicycle,995.409,1035.074,-4.934,0.864
P1,17,1700,pedestrian/bicycle,994.91,1035.155,-5.044,0.772
P1,18,1800,pedestrian/bicycle,994.4,1035.228,-5.153,0.675
P1,19,1900,pedestrian/bicycle,993.879,1035.29,-5.259,0.576
P1,20,2000,pedestrian/bicycle,993.348,1035.343,-5.365,0.475
P1,21,2100,pedestrian/bicycle,992.806,1035.385,-5.467,0.373
P1,22,2200,pedestrian/bicycle,992.255,1035.417,-5.565,0.267
P1,23,2300,pedestrian/bicycle,991.693,1035.438,-5.668,0.157
P1,24,2400,pedestrian/bicycle,991.121,1035.448,-5.777,0.041
P1,25,2500,pedestrian/bicycle,990.538,1035.446,-5.885,-0.08
P1,26,2600,pedestrian/bicycle,989.944,1035.432,-5.985,-0.204
P1,27,2700,pedestrian/bicycle,989.341,1035.406,-6.079,-0.324
P1,28,2800,pedestrian/bicycle,988.729,1035.368,-6.168,-0.434
P1,29,2900,pedestrian/bicycle,988.108,1035.32,-6.252,-0.532
P1,30,3000,pedestrian/bicycle,987.479,1035.262,-6.329,-0.621
P1,31,3100,pedestrian/bicycle,986.843,1035.196,-6.398,-0.703
P1,32,3200,pedestrian/bicycle,986.2,1035.122,-6.461,-0.779
P1,33,3300,pedestrian/bicycle,985.551,1035.04,-6.518,-0.849
P1,34,3400,pedestrian/bicycle,984.896,1034.952,-6.573,-0.91
P1,35,3500,pedestrian/bicycle,984.236,1034.858,-6.631,-0.964
P1,36,3600,pedestrian/bicycle,983.57,1034.76,-6.693,-1.013
P1,37,3700,pedestrian/bicycle,982.897,1034.656,-6.763,-1.058
P1,38,3800,pedestrian/bicycle,982.217,1034.548,-6.843,-1.099
P1,39,3900,pedestrian/bicycle,981.528,1034.437,-6.925,-1.135
P1,40,4000,pedestrian/bicycle,980.831,1034.321,-7.01,-1.17
