track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P9,71,7100,pedestrian/bicycle,1066.202,994.751,0.086,-0.387
P9,72,7200,pedestrian/bicycle,1066.214,994.709,0.154,-0.461
P9,73,7300,pedestrian/bicycle,1066.233,994.66,0.226,-0.53
P9,74,7400,pedestrian/bicycle,1066.26,994.603,0.298,-0.597
P9,75,7500,pedestrian/bicycle,1066.293,994.54,0.369,-0.658
P9,76,7600,pedestrian/bicycle,1066.333,994.472,0.441,-0.708
P9,77,7700,pedestrian/bicycle,1066.381,994.399,0.516,-0.749
P9,78,7800,pedestrian/bicycle,1066.437,994.323,0.591,-0.782
P9,79,7900,pedestrian/bicycle,1066.499,994.244,0.664,-0.8
P9,80,8000,pedestrian/bicycle,1066.569,994.164,0.733,-0.798
P9,81,8100,pedestrian/bicycle,1066.646,994.085,0.793,-0.775
P9,82,8200,pedestrian/bicycle,1066.727,994.01,0.843,-0.733
P9,83,8300,pedestrian/bicycle,1066.814,993.939,0.888,-0.678
P9,84,8400,pedestrian/bicycle,1066.905,993.874,0.929,-0.617
P9,85,8500,pedestrian/bicycle,1066.999,993.816,0.965,-0.556
P9,86,8600,pedestrian/bicycle,1067.098,993.763,0.999,-0.499
P9,87,8700,pedestrian/bicycle,1067.199,993.716,1.03,-0.45
P9,88,8800,pedestrian/bicycle,1067.304,993.673,1.061,-0.408
P9,89,8900,pedestrian/bicycle,1067.411,993.634,1.091,-0.37
P9,90,9000,pedestrian/bicycle,1067.522,993.599,1.117,-0.333
P9,91,9100,pedestrian/bicycle,1067.634,993.567,1.135,-0.298
P9,92,9200,pedestrian/bicycle,1067.748,993.539,1.151,-0.269
P9,93,9300,pedestrian/bicycle,1067.864,993.513,1.168,-0.245
P9,94,9400,pedestrian/bicycle,1067.982,993.49,1.179,-0.225
P9,95,9500,pedestrian/bicycle,1068.1,993.468,1.184,-0.208
P9,96,9600,pedestrian/bicycle,1068.219,993.448,1.19,-0.192
P9,97,9700,pedestrian/bicycle,1068.338,993.429,1.197,-0.179
P9,98,9800,pedestrian/bicycle,1068.458,993.412,1.202,-0.171
P9,99,9900,pedestrian/bicycle,1068.578,993.395,1.202,-0.166
P9,100,10000,pedestrian/bicycle,1068.698,993.379,1.197,-0.164
P9,101,10100,pedestrian/bicycle,1068.817,993.362,1.187,-0.164
P9,102,10200,pedestrian/bicycle,1068.935,993.346,1.175,-0.163
P9,103,10300,pedestrian/bicycle,1069.053,993.33,1.169,-0.159
P9,104,10400,pedestrian/bicycle,1069.169,993.314,1.169,-0.151
P9,105,10500,pedestrian/bicycle,1069.287,993.3,1.172,-0.141
P9,106,10600,pedestrian/bicycle,1069.404,993.286,1.176,-0.13
P9,107,10700,pedestrian/bicycle,1069.522,993.274,1.178,-0.119
