track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P1,1430,143000,pedestrian/bicycle,964.794,984.428,7.326,0.211
P1,1431,143100,pedestrian/bicycle,965.529,984.452,7.383,0.285
P1,1432,143200,pedestrian/bicycle,966.27,984.484,7.422,0.352
P1,1433,143300,pedestrian/bicycle,967.013,984.522,7.442,0.41
P1,1434,143400,pedestrian/bicycle,967.757,984.566,7.445,0.456
P1,1435,143500,pedestrian/bicycle,968.501,984.613,7.425,0.484
P1,1436,143600,pedestrian/bicycle,969.242,984.662,7.396,0.493
P1,1437,143700,pedestrian/bicycle,969.98,984.71,7.372,0.484
P1,1438,143800,pedestrian/bicycle,970.716,984.758,7.344,0.462
P1,1439,143900,pedestrian/bicycle,971.447,984.802,7.27,0.425
P1,1440,144000,pedestrian/bicycle,972.167,984.842,7.139,0.377
P1,1441,144100,pedestrian/bicycle,972.874,984.877,6.991,0.328
P1,1442,144200,pedestrian/bicycle,973.566,984.908,6.865,0.29
P1,1443,144300,pedestrian/bicycle,974.248,984.936,6.77,0.263
P1,1444,144400,pedestrian/bicycle,974.921,984.961,6.695,0.246
P1,1445,144500,pedestrian/bicycle,975.588,984.985,6.635,0.235
P1,1446,144600,pedestrian/bicycle,976.249,985.009,6.587,0.228
P1,1447,144700,pedestrian/bicycle,976.906,985.031,6.545,0.226
P1,1448,144800,pedestrian/bicycle,977.558,985.054,6.504,0.227
P1,1449,144900,pedestrian/bicycle,978.206,985.077,6.461,0.231
P1,1450,145000,pedestrian/bicycle,978.85,985.1,6.416,0.236
P1,1451,145100,pedestrian/bicycle,979.489,985.124,6.366,0.243
P1,1452,145200,pedestrian/bicycle,980.123,985.149,6.31,0.251
P1,1453,145300,pedestrian/bicycle,980.751,985.174,6.251,0.255
P1,1454,145400,pedestrian/bicycle,981.373,985.2,6.19,0.256
P1,1455,145500,pedestrian/bicycle,981.989,985.225,6.133,0.256
P1,1456,145600,pedestrian/bicycle,982.6,985.251,6.083,0.257
P1,1457,145700,pedestrian/bicycle,983.206,985.277,6.033,0.262
P1,1458,145800,pedestrian/bicycle,983.806,985.304,5.975,0.273
P1,1459,145900,pedestrian/bicycle,984.4,985.332,5.903,0.29
P1,1460,146000,pedestrian/bicycle,984.987,985.361,5.825,0.306
P1,1461,146100,pedestrian/bicycle,985.566,985.393,5.762,0.315
P1,1462,146200,pedestrian/bicycle,986.141,985.424,5.735,0.321
P1,1463,146300,pedestrian/bicycle,986.716,985.457,5.769,0.334
P1,1464,146400,pedestrian/bicycle,987.299,985.492,5.889,0.361
P1,1465,146500,pedestrian/bicycle,987.899,985.53,6.117,0.4
P1,1466,146600,pedestrian/bicycle,988.527,985.572,6.443,0.44
P1,1467,146700,pedestrian/bicycle,989.19,985.617,6.805,0.466
P1,1468,146800,pedestrian/bicycle,989.889,985.664,7.185,0.473
P1,1469,146900,pedestrian/bicycle,990.628,985.711,7.597,0.46
P1,1470,147000,pedestrian/bicycle,991.408,985.755,8,0.426
P1,1471,147100,pedestrian/bicycle,992.227,985.795,8.376,0.373
P1,1472,147200,pedestrian/bicycle,993.082,985.829,8.731,0.312
P1,1473,147300,pedestrian/bicycle,993.969,985.857,9.004,0.252
P1,1474,147400,pedestrian/bicycle,994.877,985.88,9.152,0.192
P1,1475,147500,pedestrian/bicycle,995.794,985.896,9.2,0.129
P1,1476,147600,pedestrian/bicycle,996.713,985.905,9.172,0.06
P1,1477,147700,pedestrian/bicycle,997.627,985.907,9.096,-0.015
P1,1478,147800,pedestrian/bicycle,998.532,985.902,9.015,-0.082
P1,1479,147900,pedestrian/bicycle,999.43,985.892,8.944,-0.134
P1,1480,148000,pedestrian/bicycle,1000.321,985.877,8.885,-0.168
P1,1481,148100,pedestrian/bicycle,1001.208,985.859,8.84,-0.182
P1,1482,148200,pedestrian/bicycle,1002.09,985.841,8.814,-0.175
P1,1483,148300,pedestrian/bicycle,1002.972,985.825,8.813,-0.149
P1,1484,148400,pedestrian/bicycle,1003.854,985.812,8.836,-0.106
P1,1485,148500,pedestrian/bicycle,1004.74,985.804,8.875,-0.049
P1,1486,148600,pedestrian/bicycle,1005.63,985.803,8.925,0.023
P1,1487,148700,pedestrian/bicycle,1006.525,985.81,8.978,0.11
P1,1488,148800,pedestrian/bicycle,1007.425,985.826,9.031,0.211
P1,1489,148900,pedestrian/bicycle,1008.331,985.853,9.084,0.328
P1,1490,149000,pedestrian/bicycle,1009.242,985.892,9.135,0.463
P1,1491,149100,pedestrian/bicycle,1010.158,985.946,9.184,0.617
P1,1492,149200,pedestrian/bicycle,1011.079,986.017,9.233,0.79
P1,1493,149300,pedestrian/bicycle,1012.005,986.105,9.282,0.983
P1,1494,149400,pedestrian/bicycle,1012.935,986.214,9.327,1.193
P1,1495,149500,pedestrian/bicycle,1013.87,986.345,9.365,1.421
P1,1496,149600,pedestrian/bicycle,1014.807,986.499,9.391,1.665
P1,1497,149700,pedestrian/bicycle,1015.747,986.679,9.404,1.926
P1,1498,149800,pedestrian/bicycle,1016.688,986.885,9.405,2.21
P1,1499,149900,pedestrian/bicycle,1017.627,987.122,9.388,2.519
P1,1500,150000,pedestrian/bicycle,1018.564,987.39,9.356,2.851
P1,1501,150100,pedestrian/bicycle,1019.498,987.693,9.307,3.2
P1,1502,150200,pedestrian/bicycle,1020.425,988.031,9.241,3.556
P1,1503,150300,pedestrian/bicycle,1021.345,988.404,9.161,3.911
P1,1504,150400,pedestrian/bicycle,1022.257,988.813,9.073,4.26
P1,1505,150500,pedestrian/bicycle,1023.16,989.255,8.983,4.592
P1,1506,150600,pedestrian/bicycle,1024.053,989.73,8.894,4.901
P1,1507,150700,pedestrian/bicycle,1024.939,990.234,8.817,5.182
P1,1508,150800,pedestrian/bicycle,1025.818,990.765,8.756,5.429
P1,1509,150900,pedestrian/bicycle,1026.691,991.318,8.718,5.644
P1,1510,151000,pedestrian/bicycle,1027.563,991.892,8.707,5.83
P1,1511,151100,pedestrian/bicycle,1028.434,992.483,8.726,5.984
P1,1512,151200,pedestrian/bicycle,1029.309,993.087,8.775,6.099
P1,1513,151300,pedestrian/bicycle,1030.191,993.701,8.855,6.178
P1,1514,151400,pedestrian/bicycle,1031.081,994.321,8.96,6.222
P1,1515,151500,pedestrian/bicycle,1031.983,994.943,9.078,6.226
P1,1516,151600,pedestrian/bicycle,1032.897,995.564,9.197,6.189
P1,1517,151700,pedestrian/bicycle,1033.823,996.179,9.314,6.109
P1,1518,151800,pedestrian/bicycle,1034.76,996.784,9.427,5.992
P1,1519,151900,pedestrian/bicycle,1035.708,997.376,9.535,5.843
P1,1520,152000,pedestrian/bicycle,1036.666,997.951,9.629,5.665
P1,1521,152100,pedestrian/bicycle,1037.632,998.507,9.693,5.46
P1,1522,152200,pedestrian/bicycle,1038.602,999.042,9.711,5.228
P1,1523,152300,pedestrian/bicycle,1039.572,999.552,9.673,4.975
P1,1524,152400,pedestrian/bicycle,1040.534,1000.036,9.576,4.709
P1,1525,152500,pedestrian/bicycle,1041.484,1000.493,9.418,4.439
P1,1526,152600,pedestrian/bicycle,1042.415,1000.924,9.206,4.175
P1,1527,152700,pedestrian/bicycle,1043.323,1001.329,8.956,3.93
P1,1528,152800,pedestrian/bicycle,1044.205,1001.712,8.679,3.717
P1,1529,152900,pedestrian/bicycle,1045.06,1002.075,8.427,3.556
P1,1530,153000,pedestrian/bicycle,1045.895,1002.426,8.275,3.468
P1,1531,153100,pedestrian/bicycle,1046.72,1002.772,8.228,3.443
P3,1927,192700,pedestrian/bicycle,1027.9,1026.14,-2.311,-2.275
P3,1928,192800,pedestrian/bicycle,1027.676,1025.916,-2.181,-2.205
P3,1929,192900,pedestrian/bicycle,1027.464,1025.698,-2.059,-2.146
P3,1930,193000,pedestrian/bicycle,1027.263,1025.486,-1.95,-2.092
P3,1931,193100,pedestrian/bicycle,1027.073,1025.28,-1.858,-2.045
P3,1932,193200,pedestrian/bicycle,1026.89,1025.077,-1.793,-2.016
P3,1933,193300,pedestrian/bicycle,1026.713,1024.875,-1.758,-2.008
P3,1934,193400,pedestrian/bicycle,1026.538,1024.675,-1.743,-2.006
P3,1935,193500,pedestrian/bicycle,1026.364,1024.475,-1.722,-1.977
P3,1936,193600,pedestrian/bicycle,1026.194,1024.281,-1.686,-1.917
