track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P2,2553,255300,pedestrian/bicycle,1046.161,995.753,-3.879,-0.614
P2,2554,255400,pedestrian/bicycle,1045.776,995.692,-3.824,-0.592
P2,2555,255500,pedestrian/bicycle,1045.396,995.634,-3.772,-0.572
P2,2556,255600,pedestrian/bicycle,1045.021,995.578,-3.725,-0.554
P2,2557,255700,pedestrian/bicycle,1044.651,995.523,-3.688,-0.54
P2,2558,255800,pedestrian/bicycle,1044.283,995.469,-3.661,-0.534
P2,2559,255900,pedestrian/bicycle,1043.918,995.416,-3.64,-0.534
P2,2560,256000,pedestrian/bicycle,1043.555,995.362,-3.624,-0.536
P2,2561,256100,pedestrian/bicycle,1043.193,995.309,-3.61,-0.535
P2,2562,256200,pedestrian/bicycle,1042.833,995.256,-3.596,-0.529
P2,2563,256300,pedestrian/bicycle,1042.474,995.203,-3.583,-0.52
P2,2564,256400,pedestrian/bicycle,1042.116,995.152,-3.573,-0.508
P2,2565,256500,pedestrian/bicycle,1041.759,995.102,-3.567,-0.496
P2,2566,256600,pedestrian/bicycle,1041.403,995.053,-3.561,-0.483
P2,2567,256700,pedestrian/bicycle,1041.047,995.005,-3.555,-0.472
P2,2568,256800,pedestrian/bicycle,1040.692,994.958,-3.552,-0.462
P2,2569,256900,pedestrian/bicycle,1040.336,994.912,-3.556,-0.457
P2,2570,257000,pedestrian/bicycle,1039.98,994.867,-3.567,-0.457
P2,2571,257100,pedestrian/bicycle,1039.623,994.821,-3.582,-0.465
P2,2572,257200,pedestrian/bicycle,1039.264,994.773,-3.599,-0.483
P2,2573,257300,pedestrian/bicycle,1038.903,994.723,-3.611,-0.512
P2,2574,257400,pedestrian/bicycle,1038.542,994.671,-3.616,-0.546
P2,2575,257500,pedestrian/bicycle,1038.18,994.614,-3.613,-0.581
P2,2576,257600,pedestrian/bicycle,1037.82,994.555,-3.602,-0.608
P2,2577,257700,pedestrian/bicycle,1037.46,994.493,-3.59,-0.625
P2,2578,257800,pedestrian/bicycle,1037.101,994.43,-3.581,-0.628
P2,2579,257900,pedestrian/bicycle,1036.744,994.368,-3.574,-0.619
P2,2580,258000,pedestrian/bicycle,1036.387,994.307,-3.564,-0.597
P2,2581,258100,pedestrian/bicycle,1036.031,994.249,-3.553,-0.56
P2,2582,258200,pedestrian/bicycle,1035.676,994.196,-3.547,-0.513
P2,2583,258300,pedestrian/bicycle,1035.322,994.147,-3.54,-0.462
P2,2584,258400,pedestrian/bicycle,1034.968,994.103,-3.527,-0.411
P2,2585,258500,pedestrian/bicycle,1034.616,994.065,-3.512,-0.364
P2,2586,258600,pedestrian/bicycle,1034.266,994.03,-3.494,-0.326
P2,2587,258700,pedestrian/bicycle,1033.918,993.999,-3.475,-0.3
P2,2588,258800,pedestrian/bicycle,1033.571,993.969,-3.457,-0.287
P2,2589,258900,pedestrian/bicycle,1033.226,993.941,-3.44,-0.285
P2,2590,259000,pedestrian/bicycle,1032.882,993.912,-3.435,-0.294
P2,2591,259100,pedestrian/bicycle,1032.538,993.882,-3.443,-0.308
P2,2592,259200,pedestrian/bicycle,1032.193,993.85,-3.465,-0.325
P2,2593,259300,pedestrian/bicycle,1031.845,993.817,-3.495,-0.338
P2,2594,259400,pedestrian/bicycle,1031.494,993.783,-3.532,-0.35
P2,2595,259500,pedestrian/bicycle,1031.139,993.747,-3.569,-0.362
P2,2596,259600,pedestrian/bicycle,1030.78,993.71,-3.601,-0.374
P2,2597,259700,pedestrian/bicycle,1030.418,993.672,-3.63,-0.385
P2,2598,259800,pedestrian/bicycle,1030.054,993.633,-3.656,-0.395
P2,2599,259900,pedestrian/bicycle,1029.687,993.593,-3.681,-0.403
P2,2600,260000,pedestrian/bicycle,1029.318,993.553,-3.706,-0.407
P2,2601,260100,pedestrian/bicycle,1028.946,993.512,-3.732,-0.407
P2,2602,260200,pedestrian/bicycle,1028.572,993.472,-3.756,-0.402
P2,2603,260300,pedestrian/bicycle,1028.195,993.432,-3.778,-0.392
P2,2604,260400,pedestrian/bicycle,1027.816,993.393,-3.797,-0.38
P2,2605,260500,pedestrian/bicycle,1027.436,993.356,-3.812,-0.367
P2,2606,260600,pedestrian/bicycle,1027.054,993.32,-3.825,-0.356
P2,2607,260700,pedestrian/bicycle,1026.671,993.285,-3.836,-0.35
P2,2608,260800,pedestrian/bicycle,1026.287,993.25,-3.844,-0.347
P2,2609,260900,pedestrian/bicycle,1025.902,993.215,-3.849,-0.348
P2,2610,261000,pedestrian/bicycle,1025.517,993.18,-3.848,-0.353
P2,2611,261100,pedestrian/bicycle,1025.133,993.144,-3.843,-0.361
P2,2612,261200,pedestrian/bicycle,1024.748,993.108,-3.841,-0.374
P2,2613,261300,pedestrian/bicycle,1024.364,993.069,-3.843,-0.392
P2,2614,261400,pedestrian/bicycle,1023.98,993.029,-3.85,-0.415
P2,2615,261500,pedestrian/bicycle,1023.594,992.986,-3.861,-0.441
P2,2616,261600,pedestrian/bicycle,1023.207,992.941,-3.875,-0.471
P2,2617,261700,pedestrian/bicycle,1022.819,992.892,-3.893,-0.502
P2,2618,261800,pedestrian/bicycle,1022.429,992.84,-3.912,-0.537
P2,2619,261900,pedestrian/bicycle,1022.036,992.785,-3.931,-0.571
