track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,-18.717,4.844,4.929,-0.033,-0.007,4.21,1.63
1,2,200,car,-18.225,4.84,4.918,-0.043,-0.009,4.21,1.63
1,3,300,car,-17.734,4.836,4.907,-0.052,-0.011,4.21,1.63
1,4,400,car,-17.244,4.83,4.895,-0.062,-0.013,4.21,1.63
1,5,500,car,-16.755,4.823,4.883,-0.071,-0.015,4.21,1.63
1,6,600,car,-16.267,4.816,4.87,-0.08,-0.016,4.21,1.63
1,7,700,car,-15.781,4.807,4.855,-0.086,-0.018,4.21,1.63
1,8,800,car,-15.296,4.799,4.836,-0.092,-0.019,4.21,1.63
1,9,900,car,-14.814,4.789,4.813,-0.095,-0.02,4.21,1.63
1,10,1000,car,-14.334,4.779,4.785,-0.099,-0.021,4.21,1.63
1,11,1100,car,-13.857,4.769,4.753,-0.103,-0.022,4.21,1.63
1,12,1200,car,-13.384,4.759,4.713,-0.108,-0.023,4.21,1.63
1,13,1300,car,-12.915,4.748,4.667,-0.113,-0.024,4.21,1.63
1,14,1400,car,-12.451,4.736,4.612,-0.117,-0.025,4.21,1.63
1,15,1500,car,-11.993,4.724,4.548,-0.119,-0.026,4.21,1.63
1,16,1600,car,-11.542,4.712,4.474,-0.121,-0.027,4.21,1.63
1,17,1700,car,-11.099,4.7,4.389,-0.12,-0.027,4.21,1.63
1,18,1800,car,-10.664,4.688,4.294,-0.119,-0.028,4.21,1.63
1,19,1900,car,-10.24,4.677,4.189,-0.117,-0.028,4.21,1.63
1,20,2000,car,-9.827,4.665,4.075,-0.116,-0.028,4.21,1.63
1,21,2100,car,-9.426,4.653,3.952,-0.115,-0.029,4.21,1.63
1,22,2200,car,-9.037,4.642,3.82,-0.114,-0.03,4.21,1.63
1,23,2300,car,-8.662,4.631,3.682,-0.112,-0.03,4.21,1.63
1,24,2400,car,-8.301,4.62,3.54,-0.109,-0.031,4.21,1.63
1,25,2500,car,-7.954,4.609,3.396,-0.106,-0.031,4.21,1.63
1,26,2600,car,-7.622,4.598,3.254,-0.102,-0.031,4.21,1.63
1,27,2700,car,-7.303,4.589,3.117,-0.097,-0.031,4.21,1.63
1,28,2800,car,-6.998,4.579,2.988,-0.091,-0.03,4.21,1.63
1,29,2900,car,-6.705,4.57,2.872,-0.085,-0.03,4.21,1.63
1,30,3000,car,-6.423,4.562,2.77,-0.08,-0.029,4.21,1.63
1,31,3100,car,-6.15,4.554,2.688,-0.076,-0.028,4.21,1.63
1,32,3200,car,-5.884,4.547,2.627,-0.074,-0.028,4.21,1.63
1,33,3300,car,-5.623,4.539,2.589,-0.073,-0.028,4.21,1.63
1,34,3400,car,-5.365,4.532,2.575,-0.073,-0.028,4.21,1.63
1,35,3500,car,-5.107,4.525,2.588,-0.075,-0.029,4.21,1.63
1,36,3600,car,-4.846,4.517,2.628,-0.078,-0.03,4.21,1.63
1,37,3700,car,-4.58,4.509,2.693,-0.083,-0.031,4.21,1.63
1,38,3800,car,-4.306,4.501,2.783,-0.088,-0.032,4.21,1.63
1,39,3900,car,-4.022,4.491,2.894,-0.094,-0.032,4.21,1.63
1,40,4000,car,-3.726,4.482,3.024,-0.101,-0.033,4.21,1.63
1,41,4100,car,-3.417,4.471,3.172,-0.109,-0.034,4.21,1.63
1,42,4200,car,-3.091,4.46,3.334,-0.119,-0.036,4.21,1.63
1,43,4300,car,-2.749,4.447,3.508,-0.131,-0.037,4.21,1.63
1,44,4400,car,-2.389,4.434,3.692,-0.145,-0.039,4.21,1.63
1,45,4500,car,-2.011,4.418,3.882,-0.159,-0.041,4.21,1.63
1,46,4600,car,-1.613,4.402,4.078,-0.175,-0.043,4.21,1.63
1,47,4700,car,-1.195,4.383,4.277,-0.191,-0.045,4.21,1.63
1,48,4800,car,-0.757,4.364,4.478,-0.206,-0.046,4.21,1.63
1,49,4900,car,-0.299,4.342,4.678,-0.22,-0.047,4.21,1.63
1,50,5000,car,0.179,4.32,4.879,-0.233,-0.048,4.21,1.63
1,51,5100,car,0.677,4.296,5.079,-0.243,-0.048,4.21,1.63
1,52,5200,car,1.194,4.271,5.278,-0.251,-0.048,4.21,1.63
1,53,5300,car,1.732,4.246,5.475,-0.257,-0.047,4.21,1.63
1,54,5400,car,2.289,4.22,5.669,-0.26,-0.046,4.21,1.63
1,55,5500,car,2.866,4.194,5.859,-0.261,-0.045,4.21,1.63
1,56,5600,car,3.461,4.168,6.045,-0.26,-0.043,4.21,1.63
1,57,5700,car,4.075,4.142,6.227,-0.257,-0.041,4.21,1.63
1,58,5800,car,4.706,4.116,6.404,-0.252,-0.039,4.21,1.63
1,59,5900,car,5.355,4.091,6.578,-0.247,-0.037,4.21,1.63
1,60,6000,car,6.021,4.067,6.747,-0.24,-0.036,4.21,1.63
1,61,6100,car,6.705,4.043,6.914,-0.233,-0.034,4.21,1.63
1,62,6200,car,7.404,4.021,7.078,-0.225,-0.032,4.21,1.63
1,63,6300,car,8.12,3.999,7.242,-0.217,-0.03,4.21,1.63
1,64,6400,car,8.852,3.977,7.405,-0.208,-0.028,4.21,1.63
1,65,6500,car,9.601,3.957,7.569,-0.198,-0.026,4.21,1.63
1,66,6600,car,10.366,3.938,7.734,-0.188,-0.024,4.21,1.63
1,67,6700,car,11.148,3.919,7.901,-0.178,-0.022,4.21,1.63
1,68,6800,car,11.947,3.902,8.069,-0.166,-0.021,4.21,1.63
1,69,6900,car,12.762,3.886,8.236,-0.154,-0.019,4.21,1.63
1,70,7000,car,13.594,3.871,8.402,-0.141,-0.017,4.21,1.63
1,71,7100,car,14.442,3.858,8.566,-0.127,-0.015,4.21,1.63
1,72,7200,car,15.307,3.846,8.727,-0.113,-0.013,4.21,1.63
1,73,7300,car,16.187,3.835,8.884,-0.1,-0.011,4.21,1.63
1,74,7400,car,17.083,3.826,9.036,-0.085,-0.009,4.21,1.63
1,75,7500,car,17.994,3.818,9.182,-0.07,-0.008,4.21,1.63
1,76,7600,car,18.919,3.812,9.322,-0.054,-0.006,4.21,1.63
1,77,7700,car,19.858,3.807,9.456,-0.037,-0.004,4.21,1.63
1,78,7800,car,20.81,3.805,9.583,-0.021,-0.002,4.21,1.63
1,79,7900,car,21.775,3.803,9.703,-0.005,-0,4.21,1.63
